,Price,Area,Location,City,bedrom
1,83.58,1675,Doddanekundi,Banglore,3
2,68.45,1670,other,Banglore,3
3,67.97,1220,Horamavu,Banglore,2
4,200.0,2502,Thanisandra,Banglore,4
5,71.05,1438,Ramamurthy Nagar,Banglore,3
6,84.05,1405,Whitefield Hope Farm Junction,Banglore,3
7,35.06,660,Electronic City Phase 1,Banglore,1
8,77.0,1362,Yelahanka,Banglore,2
9,93.69,1735,Anjanapura,Banglore,3
10,87.16,1575,Jalahalli,Banglore,3
11,53.94,1120,Kasavanahalli,Banglore,2
12,63.67,1415,Whitefield Hope Farm Junction,Banglore,3
13,50.8,1270,Bommasandra,Banglore,2
14,72.09999,1311,Bellandur,Banglore,3
15,57.0,1210,RR Nagar,Banglore,2
17,83.58,1675,Doddanekundi,Banglore,3
18,68.45,1670,other,Banglore,3
19,67.97,1220,Horamavu,Banglore,2
20,200.0,2502,Thanisandra,Banglore,4
21,71.05,1438,Ramamurthy Nagar,Banglore,3
22,84.05,1405,Whitefield Hope Farm Junction,Banglore,3
23,35.06,660,Electronic City Phase 1,Banglore,1
24,77.0,1362,Yelahanka,Banglore,2
25,93.69,1735,Anjanapura,Banglore,3
26,87.16,1575,Jalahalli,Banglore,3
27,53.94,1120,Kasavanahalli,Banglore,2
28,63.67,1415,Whitefield Hope Farm Junction,Banglore,3
29,50.8,1270,Bommasandra,Banglore,2
30,72.09999,1311,Bellandur,Banglore,3
31,57.0,1210,RR Nagar,Banglore,2
32,124.0,1705,Whitefield Hope Farm Junction,Banglore,3
33,49.0,1187,Begur,Banglore,2
35,83.58,1675,Doddanekundi,Banglore,3
36,68.45,1670,other,Banglore,3
37,67.97,1220,Horamavu,Banglore,2
38,200.0,2502,Thanisandra,Banglore,4
39,71.05,1438,Ramamurthy Nagar,Banglore,3
40,84.05,1405,Whitefield Hope Farm Junction,Banglore,3
41,35.06,660,Electronic City Phase 1,Banglore,1
42,77.0,1362,Yelahanka,Banglore,2
43,93.69,1735,Anjanapura,Banglore,3
44,87.16,1575,Jalahalli,Banglore,3
45,53.94,1120,Kasavanahalli,Banglore,2
46,63.67,1415,Whitefield Hope Farm Junction,Banglore,3
47,50.8,1270,Bommasandra,Banglore,2
48,72.09999,1311,Bellandur,Banglore,3
49,57.0,1210,RR Nagar,Banglore,2
50,124.0,1705,Whitefield Hope Farm Junction,Banglore,3
51,49.0,1187,Begur,Banglore,2
52,50.8,1270,Bommasandra,Banglore,2
53,94.58,1726,Hosa Road,Banglore,3
55,73.63,1570,Kadugodi,Banglore,3
56,54.89,1120,Jakkur,Banglore,2
57,42.16,1506,Jigani,Banglore,3
58,43.68,1040,Krishnarajapura,Banglore,2
59,76.0,1150,other,Banglore,2
60,45.45,1045,Horamavu,Banglore,2
62,80.0,1160,RR Nagar,Banglore,2
63,45.14,1143,RR Nagar,Banglore,2
64,54.6,1300,RR Nagar,Banglore,2
65,44.14,966,Nelamangala,Banglore,2
66,88.68,1245,Begur,Banglore,2
67,61.33,1275,Ramamurthy Nagar,Banglore,2
68,30.38,1085,Attibele,Banglore,2
69,71.0,1286,Nelamangala,Banglore,3
70,75.06999,1155,other,Banglore,2
71,65.2,1304,Whitefield Hope Farm Junction,Banglore,3
72,63.89,1120,other,Banglore,2
73,117.0,2017,ITPL,Banglore,3
74,45.62,1304,Electronic City Phase 1,Banglore,3
75,29.51,649,Ramamurthy Nagar,Banglore,1
76,42.64,1108,Krishnarajapura,Banglore,2
77,66.98,1675,Krishnarajapura,Banglore,3
78,45.0,1075,Kasavanahalli,Banglore,2
79,49.28,1120,Varthur,Banglore,2
80,61.0,1350,other,Banglore,2
81,61.51,1404,Electronic City Phase 2,Banglore,2
82,54.26,1080,Begur,Banglore,2
83,130.0,1800,other,Banglore,3
84,48.5,1060,other,Banglore,2
85,46.04,1540,other,Banglore,3
87,165.0,1645,Sahakar Nagar,Banglore,3
88,48.4,1345,Sarjapur,Banglore,3
91,48.09,1145,Electronic City Phase 1,Banglore,2
92,50.7,935,Budigere Cross,Banglore,2
93,105.0,1455,Bommanahalli,Banglore,3
94,45.8,1145,Varthur,Banglore,2
95,55.59,1635,Whitefield Hope Farm Junction,Banglore,3
96,47.23,1145,RR Nagar,Banglore,2
98,89.54,1216,Varthur,Banglore,2
99,40.0,1005,other,Banglore,2
100,54.0,1200,other,Banglore,2
101,87.84,1279,other,Banglore,2
102,79.0,1180,Nayandahalli,Banglore,2
103,47.81,1310,Electronic City Phase 2,Banglore,3
104,150.0,1776,other,Banglore,3
105,47.0,1125,Horamavu,Banglore,2
107,64.87,1272,Thanisandra,Banglore,2
108,140.0,2170,Junnasandra,Banglore,3
109,87.58,1510,RR Nagar,Banglore,3
110,55.0,1170,other,Banglore,2
111,49.0,1215,other,Banglore,2
112,45.45,1045,Horamavu,Banglore,2
113,220.0,1833,ITPL,Banglore,3
114,75.0,1100,other,Banglore,2
115,37.79999,900,Kudlu,Banglore,2
116,89.54,1216,Varthur,Banglore,2
118,89.54,1216,Varthur,Banglore,2
119,82.18,1505,Electronic City Phase 2,Banglore,3
120,86.56,1502,Jakkur,Banglore,3
121,75.2,1675,Doddanekundi,Banglore,3
122,110.0,1805,Begur,Banglore,3
123,113.99999,1880,Begur,Banglore,3
124,130.0,2180,Begur,Banglore,4
125,112.99999,1850,Begur,Banglore,3
126,67.36,1350,Doddanekundi,Banglore,2
127,82.33,1650,Doddanekundi,Banglore,3
128,67.61,1355,Doddanekundi,Banglore,3
129,66.11,1325,Doddanekundi,Banglore,2
130,62.87,1260,Doddanekundi,Banglore,2
131,64.37,1290,Doddanekundi,Banglore,2
132,61.12,1225,Doddanekundi,Banglore,2
133,64.87,1300,Doddanekundi,Banglore,2
134,47.22,1152,other,Banglore,2
135,45.86,1119,other,Banglore,2
136,45.82,1118,other,Banglore,2
137,67.87,1656,other,Banglore,3
138,93.19,1629,Horamavu,Banglore,3
